         414664 function calls (404841 primitive calls) in 0.342 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
    80/33    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      565    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        1    0.000    0.000    0.015    0.015 __init__.py:639(<module>)
  154/152    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      170    0.000    0.000    0.002    0.000 __init__.py:1407(has_metadata)
        1    0.000    0.000    0.025    0.025 pool.py:155(__init__)
       11    0.000    0.000    0.000    0.000 decorator.py:75(__init__)
       11    0.000    0.000    0.000    0.000 decorator.py:144(make)
      292    0.000    0.000    0.000    0.000 function_base.py:461(_add_docstring)
       29    0.000    0.000    0.000    0.000 inspect.py:2750(__init__)
       78    0.000    0.000    0.001    0.000 abc.py:125(__new__)
    61/11    0.000    0.000    0.001    0.000 pyparsing.py:3288(leaveWhitespace)
  112/108    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
     1467    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
    77/62    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
       65    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      170    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
      139    0.000    0.000    0.002    0.000 {built-in method builtins.next}
       26    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
      407    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
        1    0.000    0.000    0.001    0.001 inspect.py:27(<module>)
        2    0.000    0.000    0.093    0.046 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:323(<listcomp>)
      107    0.000    0.000    0.003    0.000 __init__.py:2205(_handle_ns)
        4    0.000    0.000    0.000    0.000 threading.py:763(__init__)
  541/315    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      456    0.000    0.000    0.000    0.000 deprecation.py:7(_deprecated)
      316    0.000    0.000    0.000    0.000 overrides.py:141(array_function_dispatch)
   131/65    0.000    0.000    0.001    0.000 pyparsing.py:3365(<listcomp>)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
        1    0.000    0.000    0.011    0.011 __init__.py:13(<module>)
      468    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
      135    0.000    0.000    0.005    0.000 __init__.py:3273(<genexpr>)
       26    0.000    0.000    0.007    0.000 pyparsing.py:2779(__init__)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
      317    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      170    0.000    0.000    0.000    0.000 __init__.py:1609(_has)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
      658    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.000    0.000 getlimits.py:415(_init)
      268    0.000    0.000    0.000    0.000 __init__.py:1940(__init__)
      350    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       24    0.000    0.000    0.002    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
        6    0.000    0.000    0.000    0.000 getlimits.py:35(__init__)
      348    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      146    0.000    0.000    0.000    0.000 posixpath.py:168(islink)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(inner)
      708    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
       52    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
       64    0.000    0.000    0.000    0.000 process.py:85(<genexpr>)
       27    0.000    0.000    0.001    0.000 pyparsing.py:1039(_trim_arity)
       37    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
      107    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
       36    0.000    0.000    0.003    0.000 __init__.py:2554(_version_from_file)
      304    0.000    0.000    0.000    0.000 version.py:321(epoch)
      231    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
     1018    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 typing.py:19(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:317(<module>)
    87/79    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      950    0.000    0.000    0.000    0.000 __init__.py:2115(__bool__)
      304    0.000    0.000    0.000    0.000 version.py:336(post)
      662    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       35    0.000    0.000    0.000    0.000 {built-in method posix.close}
